exams,probability,instance_seed,solver_seed,solver,slots,time,max_time
10,0.8,3,2,code2,6,0.000702,60
10,0.8,3,3,code1,6,0.001181,60
10,0.8,3,3,code2,6,0.001262,60
15,0.2,0,0,code1,2,0.000145,60
15,0.2,0,0,code2,2,0.000028,60
15,0.2,0,1,code1,2,0.000149,60
15,0.2,0,1,code2,2,0.000026,60
15,0.2,0,2,code1,2,0.000201,60
15,0.2,0,2,code2,2,0.000053,60
15,0.2,0,3,code1,2,0.000166,60
15,0.2,0,3,code2,2,0.000024,60
15,0.2,1,0,code1,3,0.000161,60
15,0.2,1,0,code2,3,0.000036,60
15,0.2,1,1,code1,3,0.000160,60
15,0.2,1,1,code2,3,0.000036,60
15,0.2,1,2,code1,3,0.000191,60
15,0.2,1,2,code2,3,0.000066,60
15,0.2,1,3,code1,3,0.000198,60
15,0.2,1,3,code2,3,0.000078,60
15,0.2,2,0,code1,3,0.000201,60
15,0.2,2,0,code2,3,0.000073,60
15,0.2,2,1,code1,3,0.000200,60
15,0.2,2,1,code2,3,0.000071,60
15,0.2,2,2,code1,3,0.000201,60
15,0.2,2,2,code2,3,0.000062,60
15,0.2,2,3,code1,3,0.000201,60
15,0.2,2,3,code2,3,0.000075,60
15,0.2,3,0,code1,3,0.000190,60
15,0.2,3,0,code2,3,0.000047,60
15,0.2,3,1,code1,3,0.000193,60
15,0.2,3,1,code2,3,0.000047,60
15,0.2,3,2,code1,3,0.000222,60
15,0.2,3,2,code2,3,0.000083,60
15,0.2,3,3,code1,3,0.000185,60
15,0.2,3,3,code2,3,0.000043,60
15,0.4,0,0,code1,3,0.000251,60
15,0.4,0,0,code2,3,0.000109,60
15,0.4,0,1,code1,3,0.000249,60
15,0.4,0,1,code2,3,0.000126,60
15,0.4,0,2,code1,3,0.000236,60
15,0.4,0,2,code2,3,0.000089,60
15,0.4,0,3,code1,3,0.000184,60
15,0.4,0,3,code2,3,0.000030,60
15,0.4,1,0,code1,4,0.000376,60
15,0.4,1,0,code2,4,0.000283,60
15,0.4,1,1,code1,4,0.000371,60
15,0.4,1,1,code2,4,0.000278,60
15,0.4,1,2,code1,4,0.000531,60
15,0.4,1,2,code2,4,0.000419,60
15,0.4,1,3,code1,4,0.000251,60
15,0.4,1,3,code2,4,0.000146,60
15,0.4,2,0,code1,4,0.000400,60
15,0.4,2,0,code2,4,0.000282,60
15,0.4,2,1,code1,4,0.000402,60
15,0.4,2,1,code2,4,0.000325,60
15,0.4,2,2,code1,4,0.000228,60
15,0.4,2,2,code2,4,0.000087,60
15,0.4,2,3,code1,4,0.000256,60
15,0.4,2,3,code2,4,0.000143,60
15,0.4,3,0,code1,4,0.000357,60
15,0.4,3,0,code2,4,0.000237,60
15,0.4,3,1,code1,4,0.000349,60
15,0.4,3,1,code2,4,0.000207,60
15,0.4,3,2,code1,4,0.000304,60
15,0.4,3,2,code2,4,0.000192,60
15,0.4,3,3,code1,4,0.000507,60
15,0.4,3,3,code2,4,0.000460,60
15,0.6,0,0,code1,5,0.000571,60
15,0.6,0,0,code2,5,0.000485,60
15,0.6,0,1,code1,5,0.000562,60
15,0.6,0,1,code2,5,0.000451,60
15,0.6,0,2,code1,5,0.001769,60
15,0.6,0,2,code2,5,0.002097,60
15,0.6,0,3,code1,5,0.001388,60
15,0.6,0,3,code2,5,0.001316,60
15,0.6,1,0,code1,6,0.004579,60
15,0.6,1,0,code2,6,0.005681,60
15,0.6,1,1,code1,6,0.003277,60
15,0.6,1,1,code2,6,0.003291,60
15,0.6,1,2,code1,6,0.001561,60
15,0.6,1,2,code2,6,0.001647,60
15,0.6,1,3,code1,6,0.001287,60
15,0.6,1,3,code2,6,0.001757,60
15,0.6,2,0,code1,5,0.000813,60
15,0.6,2,0,code2,5,0.000779,60
15,0.6,2,1,code1,5,0.000928,60
15,0.6,2,1,code2,5,0.000884,60
15,0.6,2,2,code1,5,0.000315,60
15,0.6,2,2,code2,5,0.000268,60
15,0.6,2,3,code1,5,0.000368,60
15,0.6,2,3,code2,5,0.000291,60
15,0.6,3,0,code1,5,0.000386,60
15,0.6,3,0,code2,5,0.000297,60
15,0.6,3,1,code1,5,0.000426,60
15,0.6,3,1,code2,5,0.000337,60
15,0.6,3,2,code1,5,0.004417,60
15,0.6,3,2,code2,5,0.004292,60
15,0.6,3,3,code1,5,0.002310,60
15,0.6,3,3,code2,5,0.002204,60
15,0.8,0,0,code1,7,0.007068,60
15,0.8,0,0,code2,7,0.003694,60
15,0.8,0,1,code1,7,0.003487,60
15,0.8,0,1,code2,7,0.003876,60
15,0.8,0,2,code1,7,0.043626,60
15,0.8,0,2,code2,7,0.042586,60
15,0.8,0,3,code1,7,0.003794,60
15,0.8,0,3,code2,7,0.004490,60
15,0.8,1,0,code1,8,0.046032,60
15,0.8,1,0,code2,8,0.046001,60
15,0.8,1,1,code1,8,0.041736,60
15,0.8,1,1,code2,8,0.044648,60
15,0.8,1,2,code1,8,0.058203,60
15,0.8,1,2,code2,8,0.061448,60
15,0.8,1,3,code1,8,0.039401,60
15,0.8,1,3,code2,8,0.043974,60
15,0.8,2,0,code1,7,0.003656,60
15,0.8,2,0,code2,7,0.004786,60
